tag,root,pos,images
0_0,0,NUM,7327
1boy,1boy,NUM,870459
1girl,1girl,NUM,4183474
1koma,1koma,NUM,3970
1other,1other,NUM,27514
2boys,2boys,NUM,174205
2girls,2girls,NUM,723488
2koma,2koma,NUM,12742
2others,2others,NUM,3567
3:,3,X,6231
3boys,3boys,NOUN,47647
3d,3d,X,10115
3girls,3girls,NUM,180632
3koma,3koma,NUM,7697
3others,3others,NUM,1083
4boys,4boys,NOUN,21308
4girls,4girls,NUM,83420
4koma,4koma,NUM,77561
5boys,5boys,NOUN,10419
5girls,5girls,NUM,45586
5koma,5koma,NUM,2804
6+boys,6+boys,NOUN,22871
6+girls,6+girls,X,66912
6+others,6+others,CCONJ,1071
39,39,NUM,1392
69,69,NUM,1862
1970s_(style),1970s,NOUN,683
1980s_(style),1980s,NOUN,3885
1990s_(style),style,NOUN,6761
2006,2006,NUM,600
2007,2007,NUM,762
2008,2008,NUM,790
2009,2009,NUM,1214
2010,2010,NUM,1431
2011,2011,NUM,1355
2012,2012,NUM,1435
2013,2013,NUM,1456
2014,2014,NUM,1604
2015,2015,NUM,2435
2016,2016,NUM,2518
2017,2017,NUM,2385
2018,2018,NUM,2533
2019,2019,NUM,2510
2020,2020,NUM,2825
2021,2021,NUM,3726
!,!,PUNCT,23240
!!,!,PUNCT,6722
!?,!,PUNCT,15755
(9),9,NUM,0
(o)_(o),o,INTJ,0
+++,+,PUNCT,10724
+_+,+,PUNCT,19591
...,...,PUNCT,31617
._.,.,PUNCT,1345
:3,:3,SPACE,74688
:/,:/,SPACE,6620
:<,:,PUNCT,30445
:>,:>,SPACE,10934
:>=,:>,SPACE,3740
:d,d,X,383050
:i,i,PRON,2337
:o,:o,SPACE,135870
:p,:p,SPACE,28754
:q,q,X,21554
:t,t,NOUN,17480
:x,:x,SPACE,1786
:|,:|,SPACE,5419
;3,3,NUM,2133
;(,;,PUNCT,587
;),;),PUNCT,18158
;d,d,X,47866
;o,o,X,7059
;p,p,X,5230
;q,q,X,3423
<o>_<o>,o,X,889
=3,=3,VERB,5379
=_=,=,PUNCT,19944
=d,=,PUNCT,0
>:(,>:(,SPACE,4463
>:),>,X,10905
>_<,>,X,44302
>_o,o,PUNCT,2097
>o<,o,X,959
?,?,PUNCT,40306
??,?,PUNCT,2215
@_@,@,ADP,17986
\m/,\m/,NOUN,6116
\n/,\n/,NOUN,867
\o/,\o/,NOUN,1408
\||/,\||/,SPACE,1666
^^^,^^^,SPACE,41139
^_^,^,PUNCT,72227
^o^,^o^,SPACE,7818
a,a,PRON,0
above_clouds,above,ADP,718
abs,abs,NOUN,55045
absolutely_everyone,everyone,PRON,702
abstract,abstract,ADJ,2594
abstract_background,background,NOUN,2142
absurdly_long_hair,hair,NOUN,11823
abuse,abuse,NOUN,1092
abyssal_ship,ship,NOUN,25708
accidental_exposure,exposure,NOUN,1037
acorn,acorn,NOUN,727
acoustic_guitar,guitar,PROPN,853
acrylic_paint_(medium),paint,NOUN,1194
action,action,NOUN,2020
ad,ad,NOUN,734
adapted_costume,costume,NOUN,34502
adapted_turret,adapted,VERB,960
adapted_uniform,uniform,NOUN,859
adidas,adidas,PROPN,889
adjusting_clothes,adjusting,VERB,16482
adjusting_eyewear,adjusting,VERB,12281
adjusting_gloves,adjusting,VERB,1710
adjusting_hair,adjusting,VERB,14644
adjusting_headwear,adjusting,VERB,5143
adjusting_legwear,adjusting,VERB,1112
adjusting_panties,adjusting,VERB,753
adjusting_swimsuit,adjusting,VERB,3397
aerial_fireworks,fireworks,NOUN,1665
aestus_estus,estus,PROPN,1075
afloat,afloat,ADV,3356
afro,afro,PROPN,1976
after_anal,after,ADP,3243
after_ejaculation,after,ADP,1462
after_fellatio,after,ADP,2846
after_kiss,after,ADP,1764
after_paizuri,after,ADP,1648
after_rape,after,ADP,1055
after_sex,after,ADP,25681
after_vaginal,after,ADP,9045
afterglow,afterglow,NOUN,685
afterimage,afterimage,NOUN,6849
afterword,afterword,PROPN,564
against_glass,against,ADP,3724
against_tree,against,ADP,1818
against_wall,against,ADP,10211
age_comparison,comparison,NOUN,663
age_difference,difference,NOUN,19181
age_progression,progression,NOUN,1509
age_regression,regression,NOUN,1221
ahegao,ahegao,NOUN,13491
ahoge,ahoge,PROPN,403662
ai_ai_gasa,ai,VERB,589
aiguillette,aiguillette,PROPN,4521
aiming,aiming,VERB,3661
aiming_at_viewer,aiming,VERB,2592
ainu,ainu,PROPN,592
ainu_clothes,ainu,PROPN,2498
air_bubble,bubble,NOUN,10391
